ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
106510014,Devlet,ABDULLAH GÜL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,60,2,62,60,2,62,---,"% 100,0",1,1,"373,67182",---,"447,87037",86.951,---,1,"440,371","88,1"
110410224,Devlet,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,70,2,72,72,---,72,---,"% 100,0",4,4,"277,44489",---,"388,24557",244.841,---,4,"404,785","81,0"
100710648,Devlet,AKDENİZ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",---,---,"387,17640",---,"429,72910",75.115,---,3,"436,495","87,3"
100810523,Devlet,AKSARAY ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,70,2,72,72,---,72,---,"% 100,0",---,---,"276,89847",---,"360,95702",246.403,---,4,"416,338","83,3"
110590041,Devlet,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Ücretsiz,70,2,72,70,2,72,---,"% 100,0",2,2,"329,32831",---,"379,45825",137.837,---,2,"413,479","82,7"
110090032,Devlet,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"392,03649",---,"428,30165",71.090,---,---,"443,484","88,7"
101370261,Devlet,ARTVİN ÇORUH ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",---,---,"286,26974",---,"335,59942",220.906,---,2,"398,981","79,8"
101411161,Devlet,ATATÜRK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,81,1,82,---,"% 100,0",---,---,"316,35444",---,"413,75683",158.119,---,2,"413,587","82,7"
101510153,Devlet,BALIKESİR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,93,---,93,---,"% 100,0",---,---,"323,94625",---,"409,18783",145.974,---,2,"429,079","85,8"
102090072,Devlet,BİNGÖL ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,50,2,52,52,---,52,---,"% 100,0",1,1,"277,50185",---,"389,90065",244.688,---,7,"395,963","79,2"
100110406,Devlet,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"326,50839",---,"427,03949",142.036,---,3,"418,341","83,7"
107310322,Devlet,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,60,---,60,12,"% 83,3",1,13,Dolmadı,---,"361,26594",Dolmadı,---,5,"418,553","83,7"
102410189,Devlet,BURSA TEKNİK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",1,1,"362,80119",---,"404,57819",97.648,---,3,"432,478","86,5"
109710348,Devlet,BURSA ULUDAĞ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"394,61312",---,"457,83793",68.969,---,3,"437,881","87,6"
102910349,Devlet,ÇUKUROVA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",---,---,"349,25736",---,"418,70448",112.312,---,6,"431,924","86,4"
103010204,Devlet,DİCLE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,103,---,103,---,"% 100,0",---,---,"295,44553",---,"427,83189",198.929,---,11,"413,861","82,8"
103110424,Devlet,DOKUZ EYLÜL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"408,03893",---,"443,28754",58.602,---,1,"443,490","88,7"
103310361,Devlet,DÜZCE ÜNİVERSİTESİ  ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Ücretsiz,80,2,82,81,---,81,1,"% 98,8",1,2,Dolmadı,---,"361,29324",Dolmadı,---,5,"409,638","81,9"
103510305,Devlet,ERCİYES ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",1,1,"342,12488",---,"419,05329",120.715,---,6,"424,770","85,0"
103810268,Devlet,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",2,1,"389,52045",---,"423,86224",73.186,---,4,"432,985","86,6"
112410449,Devlet,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"400,80479",---,"436,63567",64.082,---,1,"445,942","89,2"
103910858,Devlet,FIRAT ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",4,4,"296,36582",---,"407,55748",196.858,---,4,"417,001","83,4"
104110687,Devlet,GAZİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"417,48648",---,"467,25074",51.600,---,3,"448,910","89,8"
104210429,Devlet,GAZİANTEP ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",---,---,"316,79253",---,"411,95451",157.354,---,6,"423,490","84,7"
104410066,Devlet,GEBZE TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",1,1,"391,03680",---,"425,53728",71.952,---,2,"438,534","87,7"
105090103,Devlet,HARRAN ÜNİVERSİTESİ ,Güzel Sanatlar Fakültesi,SAY,Ücretsiz,60,2,62,62,---,62,---,"% 100,0",---,---,"282,05863",---,"370,53073",231.862,---,2,"404,300","80,9"
107710415,Devlet,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,75,---,75,7,"% 91,5",2,9,Dolmadı,---,"391,76613",Dolmadı,---,4,"405,298","81,1"
110790023,Devlet,İSKENDERUN TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,72,---,72,---,"% 100,0",---,---,"304,44769",---,"355,01823",179.832,---,5,"407,588","81,5"
105510477,Devlet,İSTANBUL TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,110,3,113,110,3,113,---,"% 100,0",---,---,"454,36221",---,"507,63608",27.657,---,4,"458,770","91,8"
105510865,Devlet,İSTANBUL TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,60,2,62,60,2,62,---,"% 100,0",---,---,"474,15344",---,"522,86014",16.990,---,2,"458,742","91,7"
105590126,Devlet,İSTANBUL TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,15,---,15,0,---,---,15,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
105690584,Devlet,İSTANBUL ÜNİVERSİTESİ  ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,70,2,72,---,"% 100,0",---,---,"407,57482",---,"441,88315",58.952,---,1,"431,394","86,3"
111110074,Devlet,İZMİR DEMOKRASİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"367,01792",---,"411,17823",93.336,---,3,"436,166","87,2"
105810041,Devlet,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,90,3,93,---,"% 100,0",---,---,"411,55347",---,"477,67286",55.957,---,2,"446,100","89,2"
106110884,Devlet,KARABÜK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,65,---,65,28,"% 69,9",---,19,Dolmadı,---,"377,35486",Dolmadı,---,1,"409,508","81,9"
106210335,Devlet,KARADENİZ TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"373,10882",---,"422,24928",87.493,---,4,"435,323","87,1"
106710278,Devlet,KIRKLARELİ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,76,---,76,17,"% 81,7",5,18,Dolmadı,---,"392,09808",Dolmadı,---,5,"403,495","80,7"
106910276,Devlet,KOCAELİ ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"372,82844",---,"428,93891",87.754,---,5,"430,624","86,1"
111310694,Devlet,KONYA TEKNİK ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,100,3,103,101,2,103,---,"% 100,0",---,---,"353,72160",---,"456,47436",107.289,---,4,"436,057","87,2"
107110015,Devlet,MARDİN ARTUKLU ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,45,---,45,37,"% 54,9",1,9,Dolmadı,---,"357,36400",Dolmadı,---,3,"408,134","81,6"
107410287,Devlet,MERSİN ÜNİVERSİTESİ  ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",2,2,"310,60283",---,"400,68736",168.224,---,6,"410,441","82,1"
107510092,Devlet,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,110,3,113,110,3,113,---,"% 100,0",1,1,"434,16158",---,"460,93520",40.124,---,---,"448,816","89,8"
107690157,Devlet,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,70,2,72,---,"% 100,0",---,---,"351,78829",---,"400,47976",109.389,---,3,"428,033","85,6"
107010519,Devlet,NECMETTİN ERBAKAN ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",3,3,"313,06012",---,"405,46573",163.831,---,3,"425,128","85,0"
108110357,Devlet,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ  ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,56,---,56,16,"% 77,8",2,12,Dolmadı,---,"355,18641",Dolmadı,---,1,"409,104","81,8"
108210965,Devlet,ONDOKUZ MAYIS ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"360,95843",---,"423,95373",99.549,---,5,"432,345","86,5"
108410318,Devlet,ORTA DOĞU TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"459,33576",---,"501,37531",24.807,---,3,"460,087","92,0"
108610722,Devlet,PAMUKKALE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"350,01110",---,"413,23543",111.447,---,2,"441,339","88,3"
108810871,Devlet,SAKARYA ÜNİVERSİTESİ  ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"350,53377",---,"422,18561",110.842,---,1,"420,049","84,0"
109010346,Devlet,SİİRT ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Ücretsiz,70,2,72,42,---,42,30,"% 58,3",2,---,Dolmadı,---,"411,04030",Dolmadı,---,2,"395,062","79,0"
102610776,Devlet,SİVAS CUMHURİYET ÜNİVERSİTESİ ,"Mimarlık, Güzel Sanatlar ve Tasarım Fakültesi",SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",4,4,"297,27615",---,"429,36240",194.868,---,7,"416,851","83,4"
109210308,Devlet,SÜLEYMAN DEMİREL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",1,1,"322,49612",---,"430,83754",148.127,---,7,"431,517","86,3"
107910352,Devlet,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",1,1,"289,07563",---,"377,13272",213.835,---,10,"412,309","82,5"
109410218,Devlet,TRAKYA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,102,1,103,---,"% 100,0",---,---,"321,07525",---,"412,59981",150.375,---,8,"426,041","85,2"
109490232,Devlet,TRAKYA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
110210718,Devlet,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",2,2,"287,70060",---,"418,83791",217.227,---,7,"401,278","80,3"
110110252,Devlet,YILDIZ TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,140,4,144,140,4,144,---,"% 100,0",---,---,"426,53422",---,"474,62865",45.339,---,4,"446,367","89,3"
110110482,Devlet,YILDIZ TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,60,2,62,60,2,62,---,"% 100,0",---,---,"444,56592",---,"470,42937",33.587,---,---,"452,502","90,5"
102310107,Devlet,YOZGAT BOZOK ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,46,---,46,36,"% 56,1",3,8,Dolmadı,---,"363,72376",Dolmadı,---,6,"407,548","81,5"
206990054,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"328,98801",---,"342,74685",138.299,---,---,"413,963","82,8"
206990055,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,26,---,26,8,---,8,18,"% 30,8",---,---,Dolmadı,---,"328,41766",Dolmadı,---,2,"375,988","75,2"
206990056,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
206910027,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",1,---,"350,31239",---,"375,29195",111.113,---,---,"436,563","87,3"
206910045,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,30,---,30,6,---,6,24,"% 20,0",---,---,Dolmadı,---,"333,86554",Dolmadı,---,---,"411,067","82,2"
206910054,Vakıf,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,6,---,6,0,---,---,6,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
202911249,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"355,00193",---,"379,13554",105.889,---,---,"395,763","79,2"
202911258,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%50 İndirimli,26,---,26,2,---,2,24,"% 7,7",---,---,Dolmadı,---,"283,51061",Dolmadı,---,---,"408,450","81,7"
202910172,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",1,---,"389,99801",---,"395,75863",72.781,---,---,"463,800","92,8"
202910727,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%50 İndirimli,26,---,26,2,---,2,24,"% 7,7",---,---,Dolmadı,---,"291,44092",Dolmadı,---,---,"424,575","84,9"
206410465,Vakıf,ANTALYA BİLİM ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"383,24302",---,"409,65826",78.493,---,---,"434,825","87,0"
206410483,Vakıf,ANTALYA BİLİM ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%50 İndirimli,38,---,38,26,---,26,12,"% 68,4",---,1,Dolmadı,---,"346,51272",Dolmadı,---,3,"417,663","83,5"
206410492,Vakıf,ANTALYA BİLİM ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%25 İndirimli,16,---,16,0,---,---,16,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
200210731,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Ücretli,20,---,20,2,---,2,18,"% 10,0",---,---,Dolmadı,---,"281,63462",Dolmadı,---,---,"406,350","81,3"
200210749,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"391,55781",---,"406,85746",71.523,---,1,"438,550","87,7"
200210846,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,6,---,6,6,---,6,---,"% 100,0",---,---,"340,80865",---,"352,82247",122.353,---,---,"438,825","87,8"
200210873,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%25 İndirimli,28,---,28,5,---,5,23,"% 17,9",---,---,Dolmadı,---,"325,63691",Dolmadı,---,---,"424,070","84,8"
200310078,Vakıf,AVRASYA ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Ücretli,36,---,36,2,---,2,34,"% 5,6",---,---,Dolmadı,---,"284,51149",Dolmadı,---,---,"421,800","84,4"
200310087,Vakıf,AVRASYA ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",1,---,"333,92121",---,"365,82235",131.413,---,1,"427,788","85,6"
200510401,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,45,---,45,28,---,28,17,"% 62,2",1,1,Dolmadı,---,"328,50138",Dolmadı,---,---,"431,595","86,3"
200510419,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,9,---,9,9,---,9,---,"% 100,0",---,---,"429,24021",---,"453,82332",43.498,---,1,"446,472","89,3"
200510676,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,18,---,18,18,---,18,---,"% 100,0",---,---,"350,24626",---,"387,69794",111.184,---,---,"442,400","88,5"
200511426,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%25 İndirimli,18,---,18,18,---,18,---,"% 100,0",2,---,"299,78863",---,"346,11092",189.489,---,---,"428,469","85,7"
200611682,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Ücretli,26,---,26,3,---,3,23,"% 11,5",1,---,Dolmadı,---,"296,37667",Dolmadı,---,---,"429,667","85,9"
200611691,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"414,63217",---,"433,59648",53.653,---,---,"447,317","89,5"
200611707,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,13,---,13,13,---,13,---,"% 100,0",---,---,"355,89315",---,"382,96261",104.923,---,1,"443,985","88,8"
200611716,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%25 İndirimli,15,---,15,15,---,15,---,"% 100,0",---,---,"286,79970",---,"347,94023",219.511,---,---,"433,497","86,7"
200710365,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"380,93642",---,"401,83585",80.455,---,---,"433,500","86,7"
200790417,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,6,---,6,6,---,6,---,"% 100,0",---,---,"345,28855",---,"353,72051",116.857,---,---,"403,058","80,6"
200710611,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,39,---,39,29,---,29,10,"% 74,4",1,1,Dolmadı,---,"334,55138",Dolmadı,---,2,"424,203","84,8"
200711415,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"398,43065",---,"420,67726",65.884,---,---,"457,600","91,5"
200790418,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,12,---,12,12,---,12,---,"% 100,0",---,---,"327,59952",---,"386,50533",140.368,---,---,"441,121","88,2"
200712194,Vakıf,BEYKENT ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,24,---,24,5,---,5,19,"% 20,8",---,---,Dolmadı,---,"315,67664",Dolmadı,---,---,"413,340","82,7"
200851520,Vakıf,BEYKOZ ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"360,69780",---,"374,04467",99.802,---,---,"440,875","88,2"
