ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
203711081,Vakıf,KADİR HAS ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"420,50627",---,"434,94928",49.429,---,---,"449,783","90,0"
203790193,Vakıf,KADİR HAS ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,%75 İndirimli,9,---,9,9,---,9,---,"% 100,0",---,---,"365,40319",---,"400,35495",95.019,---,---,"430,583","86,1"
203711099,Vakıf,KADİR HAS ÜNİVERSİTESİ ,Sanat ve Tasarım Fakültesi,SAY,%50 İndirimli,45,---,45,22,---,22,23,"% 48,9",---,1,Dolmadı,---,"352,57630",Dolmadı,---,1,"423,307","84,7"
204010457,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Ücretli,30,---,30,16,---,16,14,"% 53,3",1,---,Dolmadı,---,"346,36932",Dolmadı,---,4,"434,728","86,9"
204010466,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"393,47927",---,"434,10351",69.901,---,---,"472,730","94,5"
204010687,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%75 İndirimli,5,---,5,5,---,5,---,"% 100,0",---,---,"290,17352",---,"370,14707",211.202,---,---,"427,930","85,6"
204010475,Vakıf,KTO KARATAY ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%50 İndirimli,10,---,10,2,---,2,8,"% 20,0",---,2,Dolmadı,---,"355,10898",Dolmadı,---,---,"465,850","93,2"
204111578,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,8,---,8,8,---,8,---,"% 100,0",---,---,"377,42760",---,"410,00600",83.589,---,2,"431,375","86,3"
204190388,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,7,---,7,7,---,7,---,"% 100,0",---,---,"323,56271",---,"376,42944",146.536,---,---,"400,171","80,0"
204112416,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,63,---,63,17,---,17,46,"% 27,0",---,---,Dolmadı,---,"321,79794",Dolmadı,---,2,"415,362","83,1"
204110517,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"389,48005",---,"425,73279",73.235,---,---,"465,593","93,1"
204190375,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%75 İndirimli,15,---,15,15,---,15,---,"% 100,0",---,---,"331,40604",---,"366,91407",134.944,---,---,"433,737","86,7"
204110305,Vakıf,MALTEPE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,44,---,44,13,---,13,31,"% 29,5",1,---,Dolmadı,---,"324,22082",Dolmadı,---,---,"418,888","83,8"
207210234,Vakıf,MEF ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"420,14305",---,"430,00628",49.687,---,---,"447,250","89,5"
207210252,Vakıf,MEF ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,%50 İndirimli,58,---,58,54,---,54,4,"% 93,1",---,---,Dolmadı,---,"408,31028",Dolmadı,---,3,"424,628","84,9"
207210261,Vakıf,MEF ÜNİVERSİTESİ ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,%25 İndirimli,8,---,8,2,---,2,6,"% 25,0",1,---,Dolmadı,---,"291,90509",Dolmadı,---,---,"399,750","80,0"
204510125,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"337,89578",---,"372,39742",126.187,---,---,"436,650","87,3"
204510779,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,34,---,34,3,---,3,31,"% 8,8",---,---,Dolmadı,---,"319,88745",Dolmadı,---,---,"403,467","80,7"
204510294,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
204511017,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"334,83201",---,"395,24422",130.196,---,---,"428,263","85,7"
204511026,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%75 İndirimli,33,---,33,3,---,3,30,"% 9,1",---,---,Dolmadı,---,"335,20759",Dolmadı,---,1,"398,000","79,6"
204511344,Vakıf,NİŞANTAŞI ÜNİVERSİTESİ ,Mühendislik-Mimarlık Fakültesi,SAY,%50 İndirimli,3,---,3,0,---,---,3,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
204610133,Vakıf,NUH NACİ YAZGAN ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Ücretli,31,---,31,5,---,5,26,"% 16,1",1,---,Dolmadı,---,"314,64522",Dolmadı,---,1,"434,870","87,0"
204610142,Vakıf,NUH NACİ YAZGAN ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"344,33686",---,"380,93554",117.974,---,2,"426,825","85,4"
204610151,Vakıf,NUH NACİ YAZGAN ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,%50 İndirimli,5,---,5,5,---,5,---,"% 100,0",---,---,"322,53852",---,"337,73679",148.072,---,---,"423,880","84,8"
204810704,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,6,---,6,0,---,---,6,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
204810616,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"422,57161",---,"443,44282",48.065,---,---,"442,029","88,4"
204810634,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,33,---,33,33,---,33,---,"% 100,0",---,---,"300,06279",---,"412,76945",188.925,---,---,"432,539","86,5"
204810643,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%25 İndirimli,28,---,28,19,---,19,9,"% 67,9",---,---,Dolmadı,---,"318,79110",Dolmadı,---,---,"415,655","83,1"
204810855,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,11,---,11,11,---,11,---,"% 100,0",---,---,"283,01942",---,"299,44944",229.336,---,---,"413,027","82,6"
204810864,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"441,73328",---,"457,66813",35.306,---,---,"454,321","90,9"
204810873,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,15,---,15,15,---,15,---,"% 100,0",---,---,"390,25418",---,"431,13835",72.583,---,---,"446,580","89,3"
204810934,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%25 İndirimli,41,---,41,41,---,41,---,"% 100,0",---,---,"303,34480",---,"388,69681",182.053,---,1,"438,359","87,7"
206710214,Vakıf,TED ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,25,---,25,11,---,11,14,"% 44,0",---,---,Dolmadı,---,"314,90621",Dolmadı,---,---,"421,109","84,2"
206710011,Vakıf,TED ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,8,---,8,8,---,8,---,"% 100,0",---,---,"440,29084",---,"453,83829",36.186,---,---,"465,513","93,1"
206710047,Vakıf,TED ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,22,---,22,22,---,22,---,"% 100,0",---,---,"372,83157",---,"417,69045",87.750,---,1,"453,023","90,6"
206710144,Vakıf,TED ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,22,---,22,22,---,22,---,"% 100,0",---,---,"316,80909",---,"380,54479",157.327,---,2,"435,091","87,0"
205410502,Vakıf,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,35,---,35,35,---,35,---,"% 100,0",---,---,"282,34685",---,"386,47320",231.102,---,---,"435,097","87,0"
205410432,Vakıf,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"451,73695",---,"478,38648",29.234,---,---,"467,190","93,4"
205410441,Vakıf,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,10,---,10,10,---,10,---,"% 100,0",---,---,"404,92638",---,"430,61847",60.919,---,---,"462,694","92,5"
205510555,Vakıf,TOROS ÜNİVERSİTESİ ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",SAY,Ücretli,25,---,25,0,---,---,25,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
205510564,Vakıf,TOROS ÜNİVERSİTESİ ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",SAY,Burslu,5,---,5,5,---,5,---,"% 100,0",---,---,"341,65281",---,"364,43180",121.309,---,1,"395,730","79,1"
205510573,Vakıf,TOROS ÜNİVERSİTESİ ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",SAY,%50 İndirimli,20,---,20,3,---,3,17,"% 15,0",---,---,Dolmadı,---,"288,92738",Dolmadı,---,---,"393,200","78,6"
206010363,Vakıf,YAŞAR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,45,---,45,12,---,12,33,"% 26,7",---,---,Dolmadı,---,"315,20200",Dolmadı,---,1,"393,392","78,7"
206010372,Vakıf,YAŞAR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"403,10629",---,"420,76021",62.298,---,---,"422,786","84,6"
206010381,Vakıf,YAŞAR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,10,---,10,10,---,10,---,"% 100,0",---,---,"341,54593",---,"408,04179",121.454,---,---,"444,805","89,0"
206011104,Vakıf,YAŞAR ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,8,---,8,8,---,8,---,"% 100,0",---,---,"302,69698",---,"363,54581",183.399,---,---,"439,356","87,9"
206110705,Vakıf,YEDİTEPE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,25,---,25,1,---,1,24,"% 4,0",---,---,Dolmadı,---,"281,44460",Dolmadı,---,---,"407,250","81,5"
206110714,Vakıf,YEDİTEPE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,9,---,9,9,---,9,---,"% 100,0",---,---,"422,12376",---,"454,78087",48.362,---,---,"456,756","91,4"
206111333,Vakıf,YEDİTEPE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,31,---,31,31,---,31,---,"% 100,0",---,---,"337,74397",---,"404,91196",126.400,---,---,"444,192","88,8"
206112182,Vakıf,YEDİTEPE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%25 İndirimli,25,---,25,18,---,18,7,"% 72,0",2,2,Dolmadı,---,"336,63590",Dolmadı,---,1,"432,883","86,6"
300110573,KKTC,DOĞU AKDENİZ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,11,---,11,0,---,---,11,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300110582,KKTC,DOĞU AKDENİZ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"340,69367",---,"397,50901",122.515,---,---,"427,825","85,6"
300190371,KKTC,DOĞU AKDENİZ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%75 İndirimli,7,---,7,7,---,7,---,"% 100,0",---,---,"284,38294",---,"338,54901",225.659,---,---,"397,450","79,5"
300111359,KKTC,DOĞU AKDENİZ ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,18,---,18,0,---,---,18,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300211719,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,Ücretli,5,---,5,0,---,---,5,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300211728,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,Burslu,7,---,7,2,---,2,5,"% 28,6",---,---,Dolmadı,---,"304,70252",Dolmadı,---,---,"414,550","82,9"
300211737,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,%75 İndirimli,11,---,11,0,---,---,11,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300211746,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,%50 İndirimli,7,---,7,0,---,---,7,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300210439,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,Ücretli,5,---,5,0,---,---,5,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300210827,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,Burslu,7,---,7,7,---,7,---,"% 100,0",---,---,"292,86327",---,"320,95917",204.747,---,1,"419,200","83,8"
300211597,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,%75 İndirimli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300210448,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ ,"Mimarlık, Tasarım ve Güzel Sanatlar Fakültesi",SAY,%50 İndirimli,8,---,8,0,---,---,8,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300710452,KKTC,GİRNE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,10,---,10,3,---,3,7,"% 30,0",1,---,Dolmadı,---,"302,67285",Dolmadı,---,---,"417,317","83,5"
300790040,KKTC,GİRNE ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%75 İndirimli,20,---,20,4,---,4,16,"% 20,0",---,---,Dolmadı,---,"289,10640",Dolmadı,---,1,"396,313","79,3"
300910017,KKTC,KIBRIS AMERİKAN ÜNİVERSİTESİ ,Güzel Sanatlar Fakültesi,SAY,Ücretli,7,---,7,1,---,1,6,"% 14,3",---,---,Dolmadı,---,"278,25491",Dolmadı,---,---,"458,100","91,6"
300910026,KKTC,KIBRIS AMERİKAN ÜNİVERSİTESİ ,Güzel Sanatlar Fakültesi,SAY,Burslu,7,---,7,0,---,---,7,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300910035,KKTC,KIBRIS AMERİKAN ÜNİVERSİTESİ ,Güzel Sanatlar Fakültesi,SAY,%75 İndirimli,8,---,8,0,---,---,8,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300910044,KKTC,KIBRIS AMERİKAN ÜNİVERSİTESİ ,Güzel Sanatlar Fakültesi,SAY,%50 İndirimli,8,---,8,0,---,---,8,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300311603,KKTC,LEFKE AVRUPA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,12,---,12,4,---,4,8,"% 33,3",---,---,Dolmadı,---,"324,64329",Dolmadı,---,---,"412,413","82,5"
300390256,KKTC,LEFKE AVRUPA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%75 İndirimli,20,---,20,0,---,---,20,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300311612,KKTC,LEFKE AVRUPA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,8,---,8,0,---,---,8,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300310314,KKTC,LEFKE AVRUPA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,24,---,24,10,---,10,14,"% 41,7",---,1,Dolmadı,---,"307,83066",Dolmadı,---,---,"424,570","84,9"
300312001,KKTC,LEFKE AVRUPA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%75 İndirimli,12,---,12,0,---,---,12,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300311118,KKTC,LEFKE AVRUPA ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,4,---,4,0,---,---,4,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
301310268,KKTC,ULUSLARARASI FİNAL ÜNİVERSİTESİ ,Mimarlık ve Güzel Sanatlar Fakültesi,SAY,Ücretli,4,---,4,0,---,---,4,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
301310277,KKTC,ULUSLARARASI FİNAL ÜNİVERSİTESİ ,Mimarlık ve Güzel Sanatlar Fakültesi,SAY,Burslu,6,---,6,0,---,---,6,"% 0,0",---,1,---,---,---,Dolmadı,---,---,---,---
301310286,KKTC,ULUSLARARASI FİNAL ÜNİVERSİTESİ ,Mimarlık ve Güzel Sanatlar Fakültesi,SAY,%50 İndirimli,20,---,20,0,---,---,20,"% 0,0",---,3,---,---,---,Dolmadı,---,---,---,---
300411692,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Ücretli,4,---,4,0,---,---,4,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300411708,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,7,---,7,2,---,2,5,"% 28,6",---,---,Dolmadı,---,"336,62841",Dolmadı,---,1,"384,975","77,0"
300411717,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%75 İndirimli,15,---,15,0,---,---,15,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300411726,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,4,---,4,0,---,---,4,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300410119,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Ücretli,3,---,3,0,---,---,3,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300410764,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,14,---,14,5,---,5,9,"% 35,7",---,---,Dolmadı,---,"310,61111",Dolmadı,---,---,"426,310","85,3"
300411056,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%75 İndirimli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300410128,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,3,---,3,0,---,---,3,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300511797,KKTC,YAKIN DOĞU ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,11,---,11,6,---,6,5,"% 54,5",---,---,Dolmadı,---,"347,77079",Dolmadı,---,1,"440,350","88,1"
300513236,KKTC,YAKIN DOĞU ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%75 İndirimli,18,---,18,0,---,---,18,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300511804,KKTC,YAKIN DOĞU ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,11,---,11,0,---,---,11,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
300510587,KKTC,YAKIN DOĞU ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Burslu,11,---,11,5,---,5,6,"% 45,5",---,---,Dolmadı,---,"303,94592",Dolmadı,---,---,"418,680","83,7"
300513006,KKTC,YAKIN DOĞU ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%75 İndirimli,11,---,11,1,---,1,10,"% 9,1",---,---,Dolmadı,---,"288,86475",Dolmadı,---,---,"438,250","87,7"
300511655,KKTC,YAKIN DOĞU ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,%50 İndirimli,8,---,8,0,---,---,8,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
401510035,Yabancı,AZERBAYCAN MİMARLIK VE İNŞAAT ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
406210156,Yabancı,NAHCİVAN DEVLET ÜNİVERSİTESİ ,Mimarlık ve Mühendislik Fakültesi,SAY,Ücretli,5,---,5,0,---,---,5,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
409610285,Yabancı,ULUSLARARASI BALKAN ÜNİVERSİTESİ ,Mühendislik Fakültesi,SAY,Ücretli,15,---,15,0,---,---,15,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
409610294,Yabancı,ULUSLARARASI BALKAN ÜNİVERSİTESİ ,Mühendislik Fakültesi,SAY,%50 İndirimli,5,---,5,0,---,---,5,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
409610301,Yabancı,ULUSLARARASI BALKAN ÜNİVERSİTESİ ,Mühendislik Fakültesi,SAY,%25 İndirimli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
408810523,Yabancı,ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,Burslu,1,---,1,1,---,1,---,"% 100,0",---,---,"303,11027",---,"303,11027",182.565,---,---,"398,250","79,7"
408810638,Yabancı,ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%75 İndirimli,10,---,10,1,---,1,9,"% 10,0",---,---,Dolmadı,---,"279,62438",Dolmadı,---,---,"412,300","82,5"
408810302,Yabancı,ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%50 İndirimli,10,---,10,0,---,---,10,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
